"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100083,"Regular Season",2024-05-15,2024-05-15,"12:40 PM","Wed","arizona-diamondbacks","cincinnati-reds",217,47,22,564,844,"Arizona Diamondbacks","ari","AZ","D-backs",109,20,23,0.465,"L 1",5,4.6,0.3,-0.1,0.3,"23-20",-3,"0-3","8-6","9-8","3-6","10-11","10-12","2-4","7-5","15-12","5-11","5-13","15-10","6-4","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,86.77,83.28,1007,16,35.26,13.69,14,0,8.51,3.14285714285714,313.044285714286,3.43,14.8914285714286,33.4529,2.77142857142857,9.6,20.6071428571429,2.17142857142857
6100086,"Regular Season",2024-05-15,2024-05-17,"6:40 PM","Fri","arizona-diamondbacks","detroit-tigers",264,70,24,564,1096,"Arizona Diamondbacks","ari","AZ","D-backs",109,20,23,0.465,"L 1",5,4.6,0.3,-0.1,0.3,"23-20",-3,"0-3","8-6","9-8","3-6","10-11","10-12","2-4","7-5","15-12","5-11","5-13","15-10","6-4","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,89.46,85.6,1008,17,38.46,14.79,0,0,9.38,2.91666666666667,255.137916666667,1.27291666666667,11.4579166666667,33.4529,2.7325,8.25958333333333,20.8070833333333,1.41625
6100089,"Regular Season",2024-05-15,2024-05-18,"5:10 PM","Sat","arizona-diamondbacks","detroit-tigers",276,95,41,564,1229,"Arizona Diamondbacks","ari","AZ","D-backs",109,20,23,0.465,"L 1",5,4.6,0.3,-0.1,0.3,"23-20",-3,"0-3","8-6","9-8","3-6","10-11","10-12","2-4","7-5","15-12","5-11","5-13","15-10","6-4","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,91.63,87.44,1010,15,37.45,15.03,0,0,9.5,2.95833333333333,241.507083333333,0.986666666666667,10.26,33.4529,1.70333333333333,7.45458333333333,18.9995833333333,1.44583333333333
6100090,"Regular Season",2024-05-15,2024-05-19,"1:10 PM","Sun","arizona-diamondbacks","detroit-tigers",317,79,25,564,1460,"Arizona Diamondbacks","ari","AZ","D-backs",109,20,23,0.465,"L 1",5,4.6,0.3,-0.1,0.3,"23-20",-3,"0-3","8-6","9-8","3-6","10-11","10-12","2-4","7-5","15-12","5-11","5-13","15-10","6-4","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,88.84,84.94,1010,12,29.05,14.97,61,0,10,2.41176470588235,230.804705882353,1.05352941176471,9.18117647058824,33.4529,1.42529411764706,5.91352941176471,15.9823529411765,1.06176470588235
6100244,"Regular Season",2024-05-15,2024-05-15,"7:20 PM","Wed","atlanta-braves","chicago-cubs",696,64,20,1155,2065,"Atlanta Braves","atl","ATL","Braves",144,26,13,0.667,"W 2",4.9,3.5,1.4,0,1.4,"25-14",1,"10-5","2-0","3-3","11-5","15-4","11-9","4-2","6-7","17-9","9-4","11-8","15-5","6-4","12-8","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,75.47,75.72,1007,64,62.46,11.72,100,1,7.83,2,244.618571428571,0.36,2.44571428571429,33.7469,0.761428571428571,1.20571428571429,1.45,0.342857142857143
6100246,"Regular Season",2024-05-15,2024-05-17,"7:20 PM","Fri","atlanta-braves","san-diego-padres",771,102,29,641,2198,"Atlanta Braves","atl","ATL","Braves",144,26,13,0.667,"W 2",4.9,3.5,1.4,0,1.4,"25-14",1,"10-5","2-0","3-3","11-5","15-4","11-9","4-2","6-7","17-9","9-4","11-8","15-5","6-4","12-8","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,66.9,67.15,1015,82,61.3,9.13,100,1,3.98,1.33333333333333,361.741666666667,5.295,22.95,33.7469,1.94875,7.98708333333333,10.7579166666667,0.923333333333333
6100248,"Regular Season",2024-05-15,2024-05-18,"7:15 PM","Sat","atlanta-braves","san-diego-padres",824,137,43,2519,2577,"Atlanta Braves","atl","ATL","Braves",144,26,13,0.667,"W 2",4.9,3.5,1.4,0,1.4,"25-14",1,"10-5","2-0","3-3","11-5","15-4","11-9","4-2","6-7","17-9","9-4","11-8","15-5","6-4","12-8","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,74.55,75.24,1011,75,66.25,15.79,100,1,6.48,1.08333333333333,301.660416666667,2.50458333333333,12.8125,33.7469,2.05208333333333,6.85875,7.66083333333333,0.35875
6100250,"Regular Season",2024-05-15,2024-05-19,"7:10 PM","Sun","atlanta-braves","san-diego-padres",1046,83,24,527,3943,"Atlanta Braves","atl","ATL","Braves",144,26,13,0.667,"W 2",4.9,3.5,1.4,0,1.4,"25-14",1,"10-5","2-0","3-3","11-5","15-4","11-9","4-2","6-7","17-9","9-4","11-8","15-5","6-4","12-8","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,78.91,78.91,1010,52,60.13,12.8,60,1,0.51,1,354.205294117647,4.79941176470588,16.4017647058824,33.7469,1.73941176470588,6.02294117647059,7.39117647058823,0.578823529411765
6100413,"Regular Season",2024-05-15,2024-05-15,"12:35 PM","Wed","baltimore-orioles","toronto-blue-jays",345,39,11,106,1239,"Baltimore Orioles","bal","BAL","Orioles",110,26,14,0.65,"L 2",5,3.8,1.2,0.2,1.4,"25-15",1,"6-2","7-2","5-4","8-6","14-9","12-5","3-3","5-5","15-10","11-4","14-5","12-9","7-3","13-7","20-10",17773,5834,9509,18,40932,1421,727,1010,22,8701,63.45,63.81,1007,92,61.09,10.67,100,1,0.51,2,216.005714285714,0.31,4.72285714285714,39.2852,0.908571428571429,1.25571428571429,1.51285714285714,0.165714285714286
6100416,"Regular Season",2024-05-15,2024-05-17,"7:05 PM","Fri","baltimore-orioles","seattle-mariners",186,97,37,315,619,"Baltimore Orioles","bal","BAL","Orioles",110,26,14,0.65,"L 2",5,3.8,1.2,0.2,1.4,"25-15",1,"6-2","7-2","5-4","8-6","14-9","12-5","3-3","5-5","15-10","11-4","14-5","12-9","7-3","13-7","20-10",17773,5834,9509,18,40932,1421,727,1010,22,8701,71.62,71.35,1016,61,57.11,9.71,57,0,6.1,2.33333333333333,228.921666666667,0.310833333333333,5.19458333333333,39.2852,1.58416666666667,3.41208333333333,4.36541666666667,0.65625
6100418,"Regular Season",2024-05-15,2024-05-19,"1:35 PM","Sun","baltimore-orioles","seattle-mariners",328,79,25,442,1305,"Baltimore Orioles","bal","BAL","Orioles",110,26,14,0.65,"L 2",5,3.8,1.2,0.2,1.4,"25-15",1,"6-2","7-2","5-4","8-6","14-9","12-5","3-3","5-5","15-10","11-4","14-5","12-9","7-3","13-7","20-10",17773,5834,9509,18,40932,1421,727,1010,22,8701,56.46,56.32,1012,96,54.75,12.95,100,1,0.1,1.23529411764706,221.967058823529,0.454117647058824,8.62,39.2852,2.07,2.24764705882353,3.60941176470588,0.353529411764706
